Tibetan Name (Original),File Number,English Name,Status, Section ,,,
????? ?????????????????????,4|221,Chauntra Tibetan Settlement Office,Active, Head Office ,,,
????? ??????????????????????????,4|228,Bir Dege Tibetan Settlement Office,Active, Head Office ,,,
????? ???????????????????????????,4|232,Bir Tibetan Society Settlement Office,Active, Head Office ,,,
????? ??????????????????????,4|281,Bir Tibetan Society BRDL,Active, Head Office ,,,
????? ?????????????????,4|296,Chauntra BRDL,Active, Head Office ,,,
????? ??????????????????????????????????????,4|300,Chauntra Sowa-Rigpa Study & Research (CSRSR) (Unit of TMAI),Active, Head Office ,,,
????? ?????????????????????,4|301,Bir Dege BRDL,Active, Head Office ,,,
????? ??????????????????????,4|356,Tashi Jong BRDL,Active, Head Office ,,,
??? ???????????????????????????,4|9,Office of Tibet - Swiss,Active, Head Office ,,,
???? ?????????????????????????,4|10,Office of Tibet - US,Active, Head Office ,,,
???? ??????????????????????????????,4|39,Office of Tibet - London (UK),Active, Head Office ,,,
???? ???????????????????????????,4|42,Office of Tibet - Japan,Active, Head Office ,,,
???? ????????????????????????????,4|91,Office of Tibet - France,Active, Head Office ,,,
???? ??????????????????????????????????,4|93,Office of Tibet - Pretoria (South Africa),Active, Head Office ,,,
???? ???????????????????????????????????????????????????,4|94,Office of Tibet - Taiwan,Active, Head Office ,,,
???? ???????????????????????????????????,4|95,Office of Tibet - Australia,Active, Head Office ,,,
????? ???????????????,4|237,Office of Tibet - Russia,Active, Head Office ,,,
????? ??????????????????????????????????,4|324,Office of Tibet - South America,Active, Head Office ,,,
???? ????????????????????????????,4|36,Delhi Settlement Office,Inactive, Dekyiling Branch ,,,
???? ???????????????????????????,4|38,Tibet Bureau Delhi,Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|128,Delhi Reception Centre Branch,Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|130,Delhi TCV Youth Hostel,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????,4|195,Federation of Tibetan Cooperatives in India Head Quarter ,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????????????????????,4|199,"Federation of Tibetan Cooperatives in India, Delhi",Inactive, Dekyiling Branch ,,,
????? ?????????????????????,4|205,Delhi BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????,4|229,Delhi Samyeling Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ???????????????,4|250,Tibet House - Delhi,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????????????,4|354,Delhi Men-Tse-Khang Exports,Inactive, Dekyiling Branch ,,,
??? ?????????????????????????,4|6,Nepal Songtsen Bhrikuti Boarding High School,Inactive, Nepal Branch ,,,
??? ????????????????????????????????????,4|7,Nepal Swoyambhu Namgyal Middle Boarding School,Inactive, Nepal Branch ,,,
??? ?????????????????????????????????,4|8,Nepal Gokarna Namgyal Higher Secondary School,Inactive, Nepal Branch ,,,
???? ??????????????????????????????????????????????????,4|62,Nepal Sharkhum Delek-ling Handicraft Centre,Inactive, Nepal Branch ,,,
???? ????????????????????????,4|66,Nepal Jawalakhel Handicraft Centre,Inactive, Nepal Branch ,,,
???? ???????????????????,4|68,Jawalakhel Bahumukhi Co-operative Society Ltd,Inactive, Nepal Branch ,,,
???? ?????????????????????????????,4|96,Nepal CTC Carpets,Inactive, Nepal Branch ,,,
???? ???????????????????????????????????,4|97,Nepal Gaden Carpets,Inactive, Nepal Branch ,,,
????? ???????????????????????????????????????,4|113,Nepal Pokhara Tashi Palkhiel Handicraft Centre,Inactive, Nepal Branch ,,,
????? ??????????????????????????????????????,4|115,Nepal Reception Centre Branch,Inactive, Nepal Branch ,,,
????? ????????????????????????????????,4|117,Nepal Jawalakhel Atisha Primary School,Inactive, Nepal Branch ,,,
????? ????????????????????????????????????????,4|119,Nepal Pokhara Tashiling Settlement Office,Inactive, Nepal Branch ,,,
????? ??????????????????????????????,4|126,Nepal Snow-Lion Foundation,Inactive, Nepal Branch ,,,
????? ???????????????????????????????? ??????????????????????????,4|133,"Nepal Pokhara Lodrik Society, Annapurna Guest House",Inactive, Nepal Branch ,,,
????? ?????????????????????????????????,4|155,Pokhara Tashi Palkhiel Tibetan Co-operative Society Ltd,Inactive, Nepal Branch ,,,
????? ?????????????????????????????????? ?????????????,4|156,Nepal Pokhara Tashiling Settlement Office,Inactive, Nepal Branch ,,,
????? ??????????????????????????,4|179,Nepal Tsering Elder's Home,Inactive, Nepal Branch ,,,
????? ??????????????????????????????????????????,4|185,Nepal Paljorling Primary Health Center,Inactive, Nepal Branch ,,,
????? ???????????????????????????????????????,4|186,Nepal Jampaling Primary Health Center,Inactive, Nepal Branch ,,,
????? ???????????????????????????????????????,4|207,Nepal Kathmandu & Phakshing Settlement Office,Inactive, Nepal Branch ,,,
????? ??????????????????????????????,4|209,Nepal Choejor Settlement Office,Inactive, Nepal Branch ,,,
????? ???????????????????????? ?????????? ???????????????????????,4|216,"Nepal Lodrik Jampaling, Paljorling and Tashigang Settlement Office",Inactive, Nepal Branch ,,,
